branch,case_group,case_or_condition,grid,source_commit,state,progress,output_root,next_action
front,front_v31_continuation,favorable_reversed_label_and_near_equal,64_128,c643afe00b4ea6f7f30e021675d7648ecdb6422c,COMPLETE_WITH_TERMINALS,10_of_10_closed,/Users/sdillon/HPC3/local-results/asb-drx-v31-front-continuation-20260916,no_long_promotion
mura,mura_first_repaired_continuation,mechanical_heterogeneity,64,59f4d12d715350867538161f6014e0ed36bbe5d1,HARD_INVALID_NUMERICAL,step_1451_strain_0.038412781,/Users/sdillon/HPC3/local-results/asb-drx-v32-mura-matched-20260916,preserved_no_resume_in_place
mura,mura_zero_identity_repaired_continuation,mechanical_heterogeneity,64,e7aa16e70703bcf74df47da8c5669ec052a446c7,RUNNING_LONG,step_1500_strain_0.0385601,/Users/sdillon/HPC3/local-results/asb-drx-v32-mura-matched-zero-e7aa16e-20260916,continue_to_0.05_strain
mura,mura_zero_identity_repaired_continuation,mechanical_heterogeneity,128,e7aa16e70703bcf74df47da8c5669ec052a446c7,CONDITIONAL_QUEUED,frozen_0.03_restart,/Users/sdillon/HPC3/local-results/asb-drx-v32-mura-matched-zero-e7aa16e-20260916,launch_after_valid_64_completion
asb,asb_v31_anchor,heterogeneous_adiabatic,128,c643afe00b4ea6f7f30e021675d7648ecdb6422c,VALIDITY_TERMINAL_NOT_STRICT_ASB,step_3272,/Users/sdillon/HPC3/local-results/asb-drx-v31-asb-anchor-20260916,freeze_and_classify
asb,asb_v31_anchor,heterogeneous_isothermal,128,c643afe00b4ea6f7f30e021675d7648ecdb6422c,RUNNING_LONG,above_step_3700,/Users/sdillon/HPC3/local-results/asb-drx-v31-asb-anchor-20260916,continue_to_terminal_or_5000
asb,asb_v31_anchor,homogeneous_adiabatic,128,c643afe00b4ea6f7f30e021675d7648ecdb6422c,RUNNING_LONG,above_step_3700,/Users/sdillon/HPC3/local-results/asb-drx-v31-asb-anchor-20260916,continue_to_terminal_or_5000
asb,asb_v31_anchor,homogeneous_isothermal,128,c643afe00b4ea6f7f30e021675d7648ecdb6422c,RUNNING_LONG,above_step_3700,/Users/sdillon/HPC3/local-results/asb-drx-v31-asb-anchor-20260916,continue_to_terminal_or_5000
asb,asb_tier1_temperature_rate_screen,900K_3e4_per_s_pair,128,fb21dbce5e615827060a440759e54b638013f2b2,RUNNING_LONG,first_pair_active,/Users/sdillon/HPC3/local-results/asb-drx-v32-asb-tier1-20260916,auto_advance_four_pairs
asb,asb_tier1_temperature_rate_screen,remaining_three_pairs,128,fb21dbce5e615827060a440759e54b638013f2b2,QUEUED,0_of_6_started,/Users/sdillon/HPC3/local-results/asb-drx-v32-asb-tier1-20260916,launch_pairwise_maximum_concurrency_two
